nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
        74, 2.695015112E+00, 1.000000013E+00, 1.494914181E+00, 2.246564027E-02
        75, 2.695015066E+00, 9.999999889E-01, 1.515117471E+00, 2.310045075E-02
        76, 2.695015149E+00, 1.000000041E+00, 1.535320970E+00, 2.394892012E-02
        77, 2.695015139E+00, 1.000000024E+00, 1.555524441E+00, 2.502389451E-02
        78, 2.695015156E+00, 9.999999833E-01, 1.575727833E+00, 2.632071387E-02
        79, 2.695015100E+00, 9.999999514E-01, 1.595931290E+00, 2.761572375E-02
        80, 2.695015085E+00, 9.999999863E-01, 1.616134755E+00, 2.890822556E-02
        81, 2.695015052E+00, 9.999999979E-01, 1.636338200E+00, 3.009004537E-02
        82, 2.695015080E+00, 1.000000000E+00, 1.656541540E+00, 3.106629359E-02
        83, 2.695015035E+00, 9.999999825E-01, 1.676744992E+00, 3.193537744E-02
        84, 2.695014979E+00, 9.999999814E-01, 1.696948567E+00, 3.242902238E-02
        85, 2.695014952E+00, 9.999999927E-01, 1.717152030E+00, 3.290115865E-02
        86, 2.695014833E+00, 9.999999712E-01, 1.737355343E+00, 3.288730864E-02
        87, 2.695014791E+00, 9.999999788E-01, 1.757558704E+00, 3.287345957E-02
        88, 2.695014850E+00, 9.999999679E-01, 1.777762203E+00, 3.247073989E-02
        89, 2.695014892E+00, 9.999999478E-01, 1.797965575E+00, 3.204726543E-02
        90, 2.695014972E+00, 9.999999929E-01, 1.818169067E+00, 3.139691909E-02
        91, 2.695015032E+00, 1.000000032E+00, 1.838372547E+00, 3.074101688E-02
        92, 2.695015043E+00, 1.000000039E+00, 1.858575908E+00, 3.017244211E-02
        93, 2.695015048E+00, 1.000000045E+00, 1.878779386E+00, 2.963083091E-02
        94, 2.695014947E+00, 9.999999887E-01, 1.898982811E+00, 2.983591271E-02
        95, 2.695014947E+00, 9.999999772E-01, 1.919186314E+00, 3.039870713E-02
        96, 2.695014840E+00, 9.999999804E-01, 1.939389703E+00, 3.275553204E-02
        97, 2.695014822E+00, 9.999999784E-01, 1.959593115E+00, 3.477538921E-02
        98, 2.695015074E+00, 1.000000013E+00, 1.979796628E+00, 4.005377821E-02
        99, 2.695015148E+00, 9.999999942E-01, 1.999999921E+00, 4.568078156E-02
