nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
        74, 2.695014921E+00, 1.000000020E+00, 1.494914154E+00, 3.032487594E-02
        75, 2.695015129E+00, 1.000000006E+00, 1.515117424E+00, 3.076208016E-02
        76, 2.695014804E+00, 9.999999973E-01, 1.535321025E+00, 3.103278489E-02
        77, 2.695014917E+00, 1.000000015E+00, 1.555524503E+00, 3.129824072E-02
        78, 2.695014895E+00, 9.999999957E-01, 1.575727885E+00, 3.152011650E-02
        79, 2.695014960E+00, 1.000000013E+00, 1.595931334E+00, 3.177321731E-02
        80, 2.695014904E+00, 9.999999841E-01, 1.616134684E+00, 3.206709117E-02
        81, 2.695014976E+00, 9.999999903E-01, 1.636338168E+00, 3.255164668E-02
        82, 2.695014953E+00, 9.999999749E-01, 1.656541509E+00, 3.310309669E-02
        83, 2.695014855E+00, 9.999999605E-01, 1.676744992E+00, 3.379281630E-02
        84, 2.695014851E+00, 9.999999768E-01, 1.696948495E+00, 3.453852737E-02
        85, 2.695014946E+00, 1.000000028E+00, 1.717151916E+00, 3.532388362E-02
        86, 2.695015077E+00, 1.000000026E+00, 1.737355276E+00, 3.610035965E-02
        87, 2.695015120E+00, 1.000000009E+00, 1.757558742E+00, 3.680363163E-02
        88, 2.695014885E+00, 9.999999908E-01, 1.777762167E+00, 3.742559692E-02
        89, 2.695014773E+00, 9.999999708E-01, 1.797965505E+00, 3.785621903E-02
        90, 2.695014974E+00, 9.999999859E-01, 1.818169049E+00, 3.812743203E-02
        91, 2.695015238E+00, 1.000000017E+00, 1.838372621E+00, 3.830722508E-02
        92, 2.695015254E+00, 9.999999941E-01, 1.858575953E+00, 3.839986965E-02
        93, 2.695015128E+00, 9.999999559E-01, 1.878779372E+00, 3.859323127E-02
        94, 2.695015092E+00, 9.999999616E-01, 1.898982851E+00, 3.908055484E-02
        95, 2.695015047E+00, 9.999999719E-01, 1.919186311E+00, 3.990553516E-02
        96, 2.695015028E+00, 9.999999557E-01, 1.939389615E+00, 4.215541965E-02
        97, 2.695015070E+00, 9.999999773E-01, 1.959593131E+00, 4.558998417E-02
        98, 2.695015003E+00, 9.999999750E-01, 1.979796617E+00, 5.022624980E-02
        99, 2.695014942E+00, 9.999999911E-01, 1.999999901E+00, 5.747121284E-02
