nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
        44, 2.695014928E+00, 9.999999868E-01, 8.888108447E-01, 3.967814814E-02
        45, 2.695014940E+00, 9.999999942E-01, 9.090143281E-01, 5.108713234E-02
        46, 2.695014872E+00, 9.999999996E-01, 9.292177660E-01, 6.399726179E-02
        47, 2.695014980E+00, 1.000000002E+00, 9.494212140E-01, 7.808228339E-02
        48, 2.695014912E+00, 9.999999593E-01, 9.696246596E-01, 9.418231852E-02
        49, 2.695014933E+00, 9.999999762E-01, 9.898281138E-01, 1.109412045E-01
        50, 2.695014910E+00, 1.000000019E+00, 1.010031523E+00, 1.285945857E-01
        51, 2.695014990E+00, 9.999999990E-01, 1.030234898E+00, 1.461605251E-01
        52, 2.695015035E+00, 9.999999920E-01, 1.050438437E+00, 1.628022969E-01
        53, 2.695015183E+00, 9.999999955E-01, 1.070641786E+00, 1.746990868E-01
        54, 2.695015029E+00, 9.999999971E-01, 1.090845275E+00, 1.809310708E-01
        55, 2.695014937E+00, 1.000000005E+00, 1.111048663E+00, 1.834519096E-01
        56, 2.695014987E+00, 1.000000040E+00, 1.131252189E+00, 1.776339650E-01
        57, 2.695014915E+00, 1.000000022E+00, 1.151455571E+00, 1.685853043E-01
        58, 2.695014939E+00, 1.000000029E+00, 1.171659061E+00, 1.553905182E-01
        59, 2.695014999E+00, 1.000000003E+00, 1.191862483E+00, 1.388401372E-01
        60, 2.695014980E+00, 9.999999611E-01, 1.212065785E+00, 1.212681904E-01
        61, 2.695014997E+00, 9.999999794E-01, 1.232269326E+00, 1.032769206E-01
        62, 2.695015086E+00, 1.000000008E+00, 1.252472844E+00, 8.689544549E-02
        63, 2.695015012E+00, 9.999999728E-01, 1.272676280E+00, 7.197457988E-02
        64, 2.695015059E+00, 9.999999703E-01, 1.292879702E+00, 5.862737760E-02
        65, 2.695014989E+00, 9.999999862E-01, 1.313083168E+00, 4.825484537E-02
        66, 2.695014921E+00, 1.000000019E+00, 1.333286612E+00, 3.847942483E-02
        67, 2.695014963E+00, 1.000000025E+00, 1.353489995E+00, 3.163948661E-02
        68, 2.695015034E+00, 1.000000033E+00, 1.373693453E+00, 2.708717036E-02
        69, 2.695014936E+00, 1.000000006E+00, 1.393897004E+00, 2.427884825E-02
        70, 2.695014885E+00, 9.999999774E-01, 1.414100290E+00, 2.286458314E-02
        71, 2.695014741E+00, 9.999999431E-01, 1.434303526E+00, 2.165573701E-02
        72, 2.695014793E+00, 9.999999499E-01, 1.454507113E+00, 2.117024855E-02
        73, 2.695014863E+00, 9.999999900E-01, 1.474710638E+00, 2.093990676E-02
        74, 2.695014867E+00, 1.000000028E+00, 1.494914062E+00, 2.096969237E-02
        75, 2.695015010E+00, 9.999999674E-01, 1.515117527E+00, 2.157960108E-02
        76, 2.695015027E+00, 9.999999328E-01, 1.535320982E+00, 2.242435039E-02
        77, 2.695015067E+00, 9.999999697E-01, 1.555524418E+00, 2.346634131E-02
        78, 2.695015023E+00, 1.000000008E+00, 1.575727843E+00, 2.498168499E-02
        79, 2.695015062E+00, 9.999999783E-01, 1.595931320E+00, 2.665556563E-02
        80, 2.695015081E+00, 1.000000011E+00, 1.616134787E+00, 2.844929025E-02
        81, 2.695015001E+00, 1.000000011E+00, 1.636338195E+00, 3.027548757E-02
        82, 2.695015067E+00, 1.000000046E+00, 1.656541630E+00, 3.203149871E-02
        83, 2.695015125E+00, 1.000000002E+00, 1.676745029E+00, 3.368207036E-02
        84, 2.695015080E+00, 9.999999784E-01, 1.696948505E+00, 3.509958235E-02
        85, 2.695015065E+00, 1.000000005E+00, 1.717151819E+00, 3.632064699E-02
        86, 2.695015048E+00, 1.000000040E+00, 1.737355229E+00, 3.731455386E-02
        87, 2.695015042E+00, 1.000000036E+00, 1.757558732E+00, 3.802463596E-02
        88, 2.695015048E+00, 1.000000007E+00, 1.777762240E+00, 3.836929834E-02
        89, 2.695015077E+00, 1.000000002E+00, 1.797965582E+00, 3.850992855E-02
        90, 2.695014945E+00, 9.999999797E-01, 1.818169033E+00, 3.835355340E-02
        91, 2.695014965E+00, 9.999999882E-01, 1.838372541E+00, 3.792982941E-02
        92, 2.695015042E+00, 1.000000011E+00, 1.858575922E+00, 3.740112814E-02
        93, 2.695015011E+00, 9.999999940E-01, 1.878779269E+00, 3.678408629E-02
        94, 2.695014887E+00, 9.999999380E-01, 1.898982722E+00, 3.637643350E-02
        95, 2.695015036E+00, 9.999999832E-01, 1.919186328E+00, 3.641019533E-02
        96, 2.695015177E+00, 1.000000027E+00, 1.939389701E+00, 3.713536439E-02
        97, 2.695015022E+00, 9.999999580E-01, 1.959593137E+00, 3.971701960E-02
        98, 2.695014955E+00, 9.999999718E-01, 1.979796665E+00, 4.431332367E-02
        99, 2.695014908E+00, 9.999999839E-01, 1.999999965E+00, 5.095272254E-02
