nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
         1, 2.695014865E+00, 9.999999452E-01, 2.006309608E-02, 2.110682257E-02
         2, 2.695014813E+00, 9.999999331E-01, 4.026653233E-02, 3.508048330E-02
         3, 2.695014882E+00, 9.999999596E-01, 6.046997048E-02, 4.374921974E-02
         4, 2.695014862E+00, 9.999999325E-01, 8.067340925E-02, 4.923388130E-02
         5, 2.695014950E+00, 9.999999929E-01, 1.008768452E-01, 5.110970481E-02
         6, 2.695014932E+00, 9.999999617E-01, 1.210802846E-01, 5.209912775E-02
         7, 2.695015056E+00, 9.999999934E-01, 1.412837202E-01, 5.251371496E-02
         8, 2.695014995E+00, 1.000000034E+00, 1.614871556E-01, 5.265868779E-02
         9, 2.695014990E+00, 1.000000058E+00, 1.816905936E-01, 5.260126162E-02
        10, 2.695014907E+00, 1.000000018E+00, 2.018940375E-01, 5.240673191E-02
        11, 2.695014867E+00, 9.999999846E-01, 2.220974727E-01, 5.207830563E-02
        12, 2.695014846E+00, 9.999999762E-01, 2.423009222E-01, 5.161928287E-02
        13, 2.695015083E+00, 1.000000025E+00, 2.625043370E-01, 5.102291450E-02
        14, 2.695015075E+00, 1.000000013E+00, 2.827077674E-01, 5.039109260E-02
        15, 2.695015006E+00, 1.000000004E+00, 3.029112112E-01, 4.975062682E-02
        16, 2.695014799E+00, 9.999999650E-01, 3.231146590E-01, 4.912818898E-02
        17, 2.695014967E+00, 9.999999858E-01, 3.433180842E-01, 4.857641866E-02
        18, 2.695014915E+00, 9.999999857E-01, 3.635215216E-01, 4.807741662E-02
        19, 2.695014930E+00, 9.999999952E-01, 3.837249816E-01, 4.762787147E-02
        20, 2.695015112E+00, 9.999999801E-01, 4.039284472E-01, 4.722476162E-02
        21, 2.695014934E+00, 9.999999584E-01, 4.241318561E-01, 4.687088769E-02
        22, 2.695015042E+00, 1.000000004E+00, 4.443353087E-01, 4.652908772E-02
        23, 2.695014994E+00, 9.999999875E-01, 4.645387321E-01, 4.618293273E-02
        24, 2.695014851E+00, 9.999999615E-01, 4.847421603E-01, 4.581603286E-02
        25, 2.695014880E+00, 9.999999935E-01, 5.049455675E-01, 4.535982035E-02
        26, 2.695014934E+00, 1.000000007E+00, 5.251490256E-01, 4.479874196E-02
        27, 2.695014937E+00, 9.999999979E-01, 5.453524229E-01, 4.410218289E-02
        28, 2.695015029E+00, 1.000000042E+00, 5.655559304E-01, 4.324523040E-02
        29, 2.695014931E+00, 9.999999925E-01, 5.857593350E-01, 4.208904510E-02
        30, 2.695014771E+00, 9.999999765E-01, 6.059627642E-01, 4.069816951E-02
        31, 2.695014908E+00, 1.000000038E+00, 6.261662007E-01, 3.906887560E-02
        32, 2.695015124E+00, 1.000000019E+00, 6.463697345E-01, 3.719509646E-02
        33, 2.695015138E+00, 1.000000017E+00, 6.665731020E-01, 3.495557653E-02
        34, 2.695015037E+00, 1.000000003E+00, 6.867765069E-01, 3.248523299E-02
        35, 2.695014888E+00, 9.999999715E-01, 7.069799784E-01, 2.980632983E-02
        36, 2.695014926E+00, 9.999999722E-01, 7.271834094E-01, 2.692155613E-02
        37, 2.695015177E+00, 9.999999983E-01, 7.473869217E-01, 2.392087620E-02
        38, 2.695015128E+00, 9.999999691E-01, 7.675902967E-01, 2.114729662E-02
        39, 2.695015052E+00, 9.999999919E-01, 7.877937375E-01, 1.862019485E-02
        40, 2.695014966E+00, 9.999999612E-01, 8.079971390E-01, 1.822165853E-02
        41, 2.695015051E+00, 9.999999827E-01, 8.282006492E-01, 1.972854931E-02
        42, 2.695014975E+00, 9.999999321E-01, 8.484040558E-01, 2.354072304E-02
        43, 2.695015002E+00, 9.999999800E-01, 8.686074472E-01, 3.066904423E-02
